Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Loại hình hoạt động,Qui mô công ty
[L2] BSV TUYỂN DỤNG DỰ ÁN VIETTEL - NHÂN VIÊN HỖ TRỢ KHÁCH HÀNG MẠNG VIETTEL (KHÔNG YÊU CẦU KINH NGHIỆM),['Đà Nẵng'],27/11/2024,"Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,5 Tr - 9 Tr VND,,Nhân viên,15/11/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
[A9] Phạm Văn Đồng Hà Nội - Tuyển Nhân Viên Kiểm Duyệt Hồ Sơ Nhà Mạng Viettel Làm Việc Xoay Ca,['Hà Nội'],27/11/2024,"An toàn lao động , An Ninh / Bảo Vệ , Bảo trì / Sửa chữa",Nhân viên chính thức,"6,5 Tr - 9 Tr VND",,Nhân viên,05/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
Nhân Viên Kho,['Hà Nội'],27/11/2024,"Bán hàng / Kinh doanh , Vận chuyển / Giao nhận / Kho vận , Dệt may / Da giày / Thời trang",Nhân viên chính thức,7 Tr - 8 Tr VND,,Nhân viên,06/11/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN GIOVANNI VIỆT NAM,"Tầng 8 Tòa nhà Sao Mai - Lô 3, 04-3A, KCN Hoàng Mai, Số 435A Tam Trinh, P. Hoàng Văn Thụ, Q. Hoàng Mai, Hà Nội.",Phòng Nhân sự,Cổ phần,500-999
Nhân viên kế hoạch sản xuất,['Đồng Nai'],27/11/2024,"Sản xuất / Vận hành sản xuất , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,8 Tr - 9 Tr VND,Trên 1 Năm,Nhân viên,30/11/2024,CÔNG TY CỔ PHẦN BAO BÌ VIỆT HƯNG SÀI GÒN,Khu công nghiệp Nhơn Trạch II - Lộc Khang - Xã Hiệp Phước - Huyện Nhơn Trạch - Đồng Nai,Nguyễn Thị Vân Thy,Cổ phần,500-999
Nhân viên kinh doanh đi ca,['Đồng Nai'],27/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,"7 Tr - 8,5 Tr VND",0 - 0 Năm,Nhân viên,30/11/2024,CÔNG TY CỔ PHẦN BAO BÌ VIỆT HƯNG SÀI GÒN,Khu công nghiệp Nhơn Trạch II - Lộc Khang - Xã Hiệp Phước - Huyện Nhơn Trạch - Đồng Nai,Nguyễn Thị Vân Thy,Cổ phần,500-999
TRƯỞNG PHÒNG KINH DOANH KHU VỰC MIỀN TÂY [ CẦN THƠ ],['Cần Thơ'],27/11/2024,"Tài chính / Đầu tư , Bất động sản , Quản lý điều hành",Nhân viên chính thức,14 Tr - 16 Tr VND,2 - 3 Năm,Trưởng nhóm / Giám sát,31/01/2025,CÔNG TY TNHH TẬP ĐOÀN THẨM ĐỊNH GIÁ SUNVALUE,"177 Trần Huy Liệu, Phường 8, Quận Phú Nhuận, TP.HCM",Phòng Nhân Sự,Trách nhiệm hữu hạn,100-499
Nhân viên vận đơn/Nhân viên điều phối,['Hà Nội'],27/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dệt may / Da giày / Thời trang",Nhân viên chính thức,9 Tr - 10 Tr VND,Lên đến 1 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH MINH HƯƠNG P.N.D (THƯƠNG HIỆU THỜI TRANG MẶC NHÀ CAO CẤP SUNFLY),"Lô A2 - CN6, cụm Công nghiệp Từ Liêm, Quận Bắc Từ Liêm, Hà Nội, Việt Nam",Phòng Nhân sự,Trách nhiệm hữu hạn,100-499
Kỹ thuật viên/Technician (LÀM VIỆC TẠI KCN THUẬN THÀNH - BẮC NINH),['Bắc Ninh'],27/11/2024,"Điện / Điện tử / Điện lạnh , Bất động sản , Bảo trì / Sửa chữa",Nhân viên chính thức,"8,5 Tr - 10 Tr VND",,Nhân viên,16/11/2024,CÔNG TY CỔ PHẦN THIẾT KẾ VÀ QUẢN LÝ KỸ THUẬT IMP,"Số 5A Đại lộ Hữu Nghị, Khu Công Nghiệp Vsip I, Phường Bình Hòa, Thành Phố Thuận An, Tỉnh Bình Dương",Recruitment Department,Cổ phần,100-499
TRỢ LÝ KẾ TOÁN - TÀI CHÍNH,['Long An'],27/11/2024,"Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,12 Tr - 20 Tr VND,2 - 5 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH SX-TM THÉP TÂY NAM,Cụm Công nghiệp Thiên Lộc Thành Ấp 4 Long Sơn Cần Đước Long An,Đặng Thị Diệu Ái,Trách nhiệm hữu hạn,500-999
Nhân viên chăm sóc bệnh nhân,['Hà Nội'],27/11/2024,"Sản xuất / Vận hành sản xuất , Dệt may / Da giày / Thời trang , An Ninh / Bảo Vệ",Nhân viên chính thức,6 Tr - 8 Tr VND,,Nhân viên,30/11/2024,CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN VÀ ĐẦU TƯ Y TẾ QUỐC TẾ,"Số 126 -128 Bùi Thị Xuân, Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",P.HCNS,Trách nhiệm hữu hạn,500-999
PHIÊN DỊCH VIÊN TIẾNG TRUNG,['Long An'],27/11/2024,Biên phiên dịch,Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 5 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH SX-TM THÉP TÂY NAM,Cụm Công nghiệp Thiên Lộc Thành Ấp 4 Long Sơn Cần Đước Long An,Đặng Thị Diệu Ái,Trách nhiệm hữu hạn,500-999
Nhân Viên Thị Trường -Tây Ninh-Bình Dương,"['Bình Dương', 'Tây Ninh']",27/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH SX-TM THÉP TÂY NAM,Cụm Công nghiệp Thiên Lộc Thành Ấp 4 Long Sơn Cần Đước Long An,Đặng Thị Diệu Ái,Trách nhiệm hữu hạn,500-999
"Nhân Viên Thị Trường -Mỹ Tho, Tiền Giang",['Tiền Giang'],27/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH SX-TM THÉP TÂY NAM,Cụm Công nghiệp Thiên Lộc Thành Ấp 4 Long Sơn Cần Đước Long An,Đặng Thị Diệu Ái,Trách nhiệm hữu hạn,500-999
"Nhân Viên Thị Trường -Nghệ An, TP. Vinh",['Nghệ An'],27/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH SX-TM THÉP TÂY NAM,Cụm Công nghiệp Thiên Lộc Thành Ấp 4 Long Sơn Cần Đước Long An,Đặng Thị Diệu Ái,Trách nhiệm hữu hạn,500-999
KẾ TOÁN KHO,['Long An'],27/11/2024,Kế toán / Kiểm toán,Nhân viên chính thức,7 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH SX-TM THÉP TÂY NAM,Cụm Công nghiệp Thiên Lộc Thành Ấp 4 Long Sơn Cần Đước Long An,Đặng Thị Diệu Ái,Trách nhiệm hữu hạn,500-999
Quản Lý Cửa Hàng Bình Dương - Tommy Hilfiger,['Bình Dương'],27/11/2024,"Bán hàng / Kinh doanh , Quản lý điều hành , Dệt may / Da giày / Thời trang",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Quản lý,15/12/2024,CÔNG TY TNHH THỜI TRANG VÀ MỸ PHẨM ÂU CHÂU,"Tòa nhà Sonatus 15, Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",Talent Acquisition Team,Trách nhiệm hữu hạn,1.000-4.999
Nhân Viên Lễ Tân (Hành Chính),['Hà Nội'],07/12/2024,"Dịch vụ khách hàng , Nhà hàng / Khách sạn , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 10 Tr VND,Trên 1 Năm,Nhân viên,05/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ LONG BIÊN,"Khu trung đoàn 918, Phúc Đồng, Long Biên, HN",HR DEPT,Cổ phần,
Kỹ thuật viên/Technician (LÀM VIỆC TẠI KCN NHƠN TRẠCH II - ĐỒNG NAI),['Đồng Nai'],27/11/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa , Bất động sản",Nhân viên chính thức,9 Tr - 10 Tr VND,,Nhân viên,16/11/2024,CÔNG TY CỔ PHẦN THIẾT KẾ VÀ QUẢN LÝ KỸ THUẬT IMP,"Số 5A Đại lộ Hữu Nghị, Khu Công Nghiệp Vsip I, Phường Bình Hòa, Thành Phố Thuận An, Tỉnh Bình Dương",Recruitment Department,Cổ phần,100-499
Nhân Viên Kinh Doanh F&B (Nhà Hàng),['Hà Nội'],01/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Nhà hàng / Khách sạn",Nhân viên chính thức,10 Tr - 12 Tr VND,Trên 1 Năm,Nhân viên,06/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ LONG BIÊN,"Khu trung đoàn 918, Phúc Đồng, Long Biên, HN",HR DEPT,Cổ phần,
Chuyên viên cao cấp Kế hoạch tài chính,['Hà Nội'],27/11/2024,"Kế toán / Kiểm toán , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 4 Năm,Nhân viên,08/12/2024,CÔNG TY TÀI CHÍNH BƯU ĐIỆN,Số 3 Đặng Thái Thân - Phường Phan Chu Trinh - Quận Hoàn Kiếm - Thành Phố Hà Nội.,Phòng Thu hút nhân tài,Trách nhiệm hữu hạn,1.000-4.999
Trưởng phòng QA,['Đồng Nai'],27/11/2024,Quản lý chất lượng (QA/QC),Nhân viên chính thức,Cạnh tranh,4 - 5 Năm,Trưởng nhóm / Giám sát,30/11/2024,CÔNG TY CỔ PHẦN HÓA PHẨM TÙNG VIỆT,"Đường số 7, khu công nghiệp Nhơn Trạch II - Nhơn Phú, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam",Tung Viet,Cổ phần,
Chuyên Viên Cao Cấp Nâng Cao Trải Nghiệm Khách Hàng – Hà Nội – TA085,['Hà Nội'],07/12/2024,"Biên phiên dịch , Bán hàng / Kinh doanh , Luật / Pháp lý",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Trưởng nhóm / Giám sát,05/01/2025,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
Nhân viên Kinh doanh - Hà Nam,['Hà Nam'],27/11/2024,"Bán hàng / Kinh doanh , Bán lẻ / Bán sỉ , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,15 Tr - 30 Tr VND,Lên đến 1 Năm,Nhân viên,07/12/2024,CÔNG TY CỔ PHẦN THÉP VIỆT XÔ HÀ NỘI,"Tầng 2 tòa nhà Tứ Hiệp Plaza, Thanh Trì, Hà Nội",Bộ phận Tuyển dụng,Cổ phần,100-499
Kế toán tổng hợp,['Hà Nam'],27/11/2024,"Hành chính / Thư ký , Kế toán / Kiểm toán , Thống kê",Nhân viên chính thức,"8,5 Tr - 9 Tr VND",1 - 2 Năm,Nhân viên,06/12/2024,CÔNG TY CỔ PHẦN VIKOHASAN,"Lô CN02 KCN Đồng Văn IV, Xã Đại Cương, Huyện Kim Bảng, Tỉnh Hà Nam, Việt Nam",H&R,Cổ phần,500-999
DISTRICT TRADE MANAGER ABBOTT LONG AN,['Long An'],27/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Quản lý điều hành",Nhân viên chính thức,25 Tr - 30 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,30/11/2024,CÔNG TY CỔ PHẦN GREEN SPEED,"17 đường Đào Duy Từ, Khu phố Đông A, Phường Đông Hòa, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Ms Thương,,500-999
[Bến Cát - Bình Dương ] - Kỹ sư bảo trì điện,['Bình Dương'],27/11/2024,Điện / Điện tử / Điện lạnh,Nhân viên chính thức,12 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN GREEN SPEED,"17 đường Đào Duy Từ, Khu phố Đông A, Phường Đông Hòa, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Ms Thương,,500-999
Nhân viên cơ điện,['Hà Nam'],07/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,"9 Tr - 10,5 Tr VND",1 - 2 Năm,Nhân viên,05/01/2025,CÔNG TY CỔ PHẦN VIKOHASAN,"Lô CN02 KCN Đồng Văn IV, Xã Đại Cương, Huyện Kim Bảng, Tỉnh Hà Nam, Việt Nam",H&R,Cổ phần,500-999
Nhân Viên Kế Toán Thuế,['Hà Nội'],27/11/2024,"Nhân sự , Kế toán / Kiểm toán",Nhân viên chính thức,12 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,06/12/2024,CÔNG TY CỔ PHẦN Z HOLDING,"B1 - R4 Royal City, Số 72A Nguyễn Trãi, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",Ms Liên,Cổ phần,1.000-4.999
Lập trình viên Fullstack .net,['Hà Nội'],27/11/2024,CNTT - Phần mềm,Nhân viên chính thức,15 Tr - 25 Tr VND,2 - 5 Năm,Nhân viên,04/01/2025,CÔNG TY CỔ PHẦN CÔNG NGHIỆP WELDCOM,"Số 285A Ngô Gia Tự, Long Biên, Hà Nội",BP Tuyển dụng,Cổ phần,500-999
"[KCN Mỹ Xuân A, Bà Rịa - Vũng Tàu] Nhân Viên Kỹ Thuật (18Tr-20Tr) (25110)",['Bà Rịa - Vũng Tàu'],07/12/2024,"Cơ khí / Ô tô / Tự động hóa , Hóa học , Bảo trì / Sửa chữa",Nhân viên chính thức,18 Tr - 20 Tr VND,Trên 5 Năm,Nhân viên,05/01/2025,CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,Trách nhiệm hữu hạn,
Nhân viên kỹ thuật tòa nhà văn phòng,['Hà Nội'],27/11/2024,"Bán lẻ / Bán sỉ , Dịch vụ khách hàng",Nhân viên chính thức,9 Tr - 12 Tr VND,2 - 3 Năm,Nhân viên,10/12/2024,NHÀ SÁCH TIẾN THỌ,424 Nguyễn Trãi- Thanh Xuân - Hà Nội,Bộ phận tuyển dụng Tiến Thọ,Cổ phần,1.000-4.999
"[Nam Tu Liem, Hanoi] SAP Consultant (33M-42M) (24866)",['Hà Nội'],27/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tư vấn",Nhân viên chính thức,33 Tr - 42 Tr VND,Trên 5 Năm,Nhân viên,05/12/2024,CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,Trách nhiệm hữu hạn,
Chỉ Huy Trưởng Cơ Điện (M&E),['Hà Nội'],27/11/2024,"Điện / Điện tử / Điện lạnh , Xây dựng , Bất động sản","Nhân viên chính thức, Thời vụ/ Nghề tự do",Cạnh tranh,5 - 10 Năm,Quản lý,10/12/2024,CÔNG TY CỔ PHẦN VIỄN THÔNG ĐẦU TƯ VÀ THƯƠNG MẠI QUỐC TẾ (ITECOM JSC),"83 Cộng Hòa, Phường 4, Quận Tân Bình, TP. Hồ Chí Minh",Phòng. HCNS ITECOM,Cổ phần,100-499
[A1.1] Cầu Giấy - Tuyển Nhân Viên Tư Vấn Dịch Vụ Đối Tác Ngân Hàng Quốc Tế Singapore,['Hà Nội'],27/11/2024,"Bán lẻ / Bán sỉ , Chứng khoán , Ngân hàng",Nhân viên chính thức,10 Tr - 20 Tr VND,,Nhân viên,27/11/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
Chuyên viên Kế toán nội bộ tại Hà Nội,['Hà Nội'],27/11/2024,"Vận chuyển / Giao nhận / Kho vận , Kế toán / Kiểm toán , Xuất nhập khẩu",Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,06/12/2024,CÔNG TY CỔ PHẦN VẬN TẢI BIỂN CONTAINER THÁI BÌNH DƯƠNG,"Tầng 15 – Tòa nhà Hòa Bình – Số 106 Hoàng Quốc Việt, Q. Cầu Giấy",Mr. Hoàng Anh,,25-99
Kỹ Sư Hóa Nghiệm,['Hà Nội'],27/11/2024,"Y tế / Chăm sóc sức khỏe , Môi trường",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,06/12/2024,CÔNG TY CỔ PHẦN GREEN I-PARK,"Tầng 7, tòa tháp A, Tòa nhà Sky Tower, số 88 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội|",Ms Huyền,,25-99
NHÂN VIÊN KỸ THUẬT XƯỞNG CHUYÊN VỀ CNC,['Đồng Nai'],27/11/2024,Cơ khí / Ô tô / Tự động hóa,Nhân viên chính thức,10 Tr - 20 Tr VND,2 - 10 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH CƠ KHÍ CHÍNH XÁC ĐẠI NAM PHÁT,"Lô D1A, đường số 7, Khu công nghiệp Thạnh Phú, Xã Thạnh Phú, Huyện Vĩnh Cửu, Tỉnh Đồng Nai, Việt Nam",Ms. Thuận,Trách nhiệm hữu hạn,100-499
[Bình Dương] Trình Dược Viên OTC (Làm việc địa bàn Bình Phước),"['Bình Phước', 'Bình Dương']",27/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,8 Tr - 18 Tr VND,1 - 2 Năm,Nhân viên,30/11/2024,CÔNG TY CỔ PHẦN DƯỢC HẬU GIANG,"288 Bis Nguyễn Văn Cừ, P. An Hòa, Q. Ninh Kiều, TP. Cần Thơ",Mr. Thắng,,1.000-4.999
Thủ kho phụ tùng ô tô- Đi Làm ngay,['Hà Nội'],27/11/2024,"Vận chuyển / Giao nhận / Kho vận , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,8 Tr - 14 Tr VND,Trên 3 Năm,Nhân viên,30/11/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN MÁY VIỆT NAM,"KĐT An Hưng, Dương Nội, Hà Đông",HR VIMID,Cổ phần,500-999
Trưởng nhóm Kho - Hà Nội,['Hà Nội'],27/11/2024,Vận chuyển / Giao nhận / Kho vận,Nhân viên chính thức,12 Tr - 15 Tr VND,2 - 3 Năm,Trưởng nhóm / Giám sát,07/12/2024,CÔNG TY CỔ PHẦN THÉP VIỆT XÔ HÀ NỘI,"Tầng 2 tòa nhà Tứ Hiệp Plaza, Thanh Trì, Hà Nội",Bộ phận Tuyển dụng,Cổ phần,100-499
Giáo Viên Tiếng Anh Hà Nội/Bắc Ninh/Vinh/Hải Phòng (KIDS/IELTS/GIAO TIẾP/TOEIC),"['Hà Nội', 'Bắc Ninh', 'Nghệ An']",27/11/2024,Giáo dục / Đào tạo,Nhân viên chính thức,10 Tr - 25 Tr VND,,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN GIÁO DỤC VÀ ĐÀO TẠO IMAP VIỆT NAM,"46 Đinh Thị Thi, Khu Đô Thị Vạn Phúc, Thủ Đức",Mr Việt,Cổ phần,1.000-4.999
Sourcing Executive,['Long An'],27/11/2024,Thu mua / Vật tư,Nhân viên chính thức,Cạnh tranh,4 - 5 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH AIRSPEED MANUFACTURING VIỆT NAM,"A10-A11, Đường 1, Khu xưởng Kizuna 2, Lô B4-3-7-8, KCN Tân Kim, Xã Tân Kim, Huyện Cần Giuộc, Tỉnh Long An",Hr Department,100% vốn nước ngoài,500-999
"Cán bộ Giám định bồi thường - Khu vực Hà Nội, Bắc Ninh, Thanh Hóa","['Hà Nội', 'Thanh Hóa', 'Bắc Ninh']",27/11/2024,"Bảo hiểm , Cơ khí / Ô tô / Tự động hóa , Hàng hải",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,05/12/2024,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM NGÂN HÀNG ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM (BIC),"Tầng 11, Tòa nhà số 263 Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Ban Nhân sự,Cổ phần,1000
Giám đốc Phân khúc khách hàng ưu tiên - RB - MSB - 1O231,['Hà Nội'],27/11/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,7 - 8 Năm,Quản lý,05/12/2024,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN HÀNG HẢI VIỆT NAM (MSB),"Tầng 26, ROX Tower, 54A Nguyễn Chí Thanh, Đống Đa, Hà Nội",Bộ phận Tuyển dụng MSB,Cổ phần,5.000-9.999
Trưởng phòng thiết kế HVAC,['Hà Nội'],07/12/2024,"Kiến trúc , Mỹ thuật / Nghệ thuật / Thiết kế , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,30 Tr - 35 Tr VND,Lên đến 5 Năm,Quản lý,05/01/2025,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ ĐẦU TƯ INTECH,"Số 145 Ngọc Hồi, Hoàng Liệt, Hoàng Mai, Hà Nội",Intech Group,Cổ phần,100-499
Trưởng/Phó phòng Phát triển sản phẩm con người,['Hà Nội'],27/11/2024,Bảo hiểm,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Quản lý,05/12/2024,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM NGÂN HÀNG ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM (BIC),"Tầng 11, Tòa nhà số 263 Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Ban Nhân sự,Cổ phần,1000
Phó Giám đốc Ban Nhân sự,['Hà Nội'],27/11/2024,"Bảo hiểm , Nhân sự",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Phó Giám đốc,05/12/2024,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM NGÂN HÀNG ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM (BIC),"Tầng 11, Tòa nhà số 263 Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Ban Nhân sự,Cổ phần,1000
"Trưởng phòng Giám định bồi thường - Khu vực Bắc Giang, Khánh Hòa","['Bắc Giang', 'Khánh Hòa']",27/11/2024,"Bảo hiểm , Cơ khí / Ô tô / Tự động hóa , Xây dựng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Quản lý,05/12/2024,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM NGÂN HÀNG ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM (BIC),"Tầng 11, Tòa nhà số 263 Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Ban Nhân sự,Cổ phần,1000
Nhân Viên Hành Chính Lễ Tân,['Hà Nội'],27/11/2024,Hành chính / Thư ký,Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,06/12/2024,CÔNG TY CỔ PHẦN VUA NỆM,"Số 1 Đào Duy Anh, Đống Đa, Hà Nội và 137 Lê Quang Định, Bình Thạnh, Hồ Chí Minh",HR Department,Cổ phần,500-999
Giám đốc Giải pháp thẻ tín dụng - RB - MSB - 1O220,['Hà Nội'],27/11/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,5 - 7 Năm,Quản lý,05/12/2024,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN HÀNG HẢI VIỆT NAM (MSB),"Tầng 26, ROX Tower, 54A Nguyễn Chí Thanh, Đống Đa, Hà Nội",Bộ phận Tuyển dụng MSB,Cổ phần,5.000-9.999
Giám đốc Pháp chế,['Hà Nội'],27/11/2024,"Bảo hiểm , Luật / Pháp lý",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Giám đốc,05/12/2024,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM NGÂN HÀNG ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM (BIC),"Tầng 11, Tòa nhà số 263 Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Ban Nhân sự,Cổ phần,1000
Chuyên viên nghiên cứu sản phẩm,['Hải Dương'],27/11/2024,Thực phẩm & Đồ uống,Nhân viên chính thức,9 Tr - 12 Tr VND,Trên 1 Năm,Nhân viên,30/11/2024,CÔNG TY TNHH DƯỢC PHẨM QUỐC TẾ AMM - GERMANY,"Số 2 Ngách 90/1/42, Tổ 9, Đường Khuyến Lương, Phường Trần Phú, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam.",Phòng Nhân sự,Trách nhiệm hữu hạn,25-99
[A9] Không Yêu Cầu Kinh Nghiệm - Tuyển Nhân Viên Tư Vấn Dịch Vụ Đối Tác Ngân Hàng Quốc Tế Singapore Làm Việc Giờ Hành Chính,['Hà Nội'],27/11/2024,"An toàn lao động , An Ninh / Bảo Vệ , Bảo hiểm",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,05/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
Kế Toán Tổng Hợp,['Hà Nội'],27/11/2024,Kế toán / Kiểm toán,Nhân viên chính thức,15 Tr - 18 Tr VND,2 - 3 Năm,Nhân viên,25/11/2024,CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ NHÀ SẠCH HMC,"Văn phòng giao dịch: Phòng 1309, Tầng 13, Khu A, Tòa nhà M3-M4, 91 Nguyễn Chí Thanh, P. Láng Hạ, Q.Đống Đa",Thuỳ Trang,Cổ phần,500-999
Area Sales Manager - Kênh ETC (Miền Tây),['Cần Thơ'],27/11/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,17 Tr - 25 Tr VND,3 - 5 Năm,Quản lý,22/12/2024,CÔNG TY TNHH BÌNH VIỆT ĐỨC (BIVID),"62/36 Trương Công Định, Phường 14, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Bộ phận Tuyển dụng,Trách nhiệm hữu hạn,500-999
