Tên công việc,Địa điểm,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp
AC Retail Operation,['Hồ Chí Minh'],TCL (VIETNAM) CORPORATION LIMITED,"5th Floors, Lottery Tower, No. 77 Tran Nhan Ton Street, Ward 9, District 5, Ho Chi Minh City",HR Dept.,,100% vốn nước ngoài,29/11/2024,"Hàng gia dụng / Chăm sóc cá nhân , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,31/12/2024
KTV Xét nghiệm/ Điều dưỡng/ Y sĩ đa khoa/Nữ hộ sinh lấy máu tại nhà (khu vực HCM),['Hồ Chí Minh'],DIAG,"414 - 420 Cao Thắng nối dài, P.12, Q.10, Tp.HCM",DIAG,,,29/11/2024,Y tế / Chăm sóc sức khỏe,Nhân viên chính thức,Trên 10 Tr VND,Trên 1 Năm,Nhân viên,31/12/2024
[H11] VIETJET AIR - LINE TIẾNG ANH KHÔNG YÊU CẦU KINH NGHIỆM THU NHẬP TỪ 8M TỔNG ĐÀI VIÊN CHĂM SÓC KHÁCH HÀNG,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,29/11/2024,Dịch vụ khách hàng,Nhân viên chính thức,8 Tr - 9 Tr VND,,Nhân viên,30/11/2024
Business Development Manager,['Hồ Chí Minh'],CÔNG TY TNHH TƯ VẤN GIẢI PHÁP DOANH NGHIỆP TPC,"Pax Sky Tower, 159C Đường Đề Thám, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Ms Nhung,,Trách nhiệm hữu hạn,29/11/2024,Dịch vụ khách hàng,Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Trưởng nhóm / Giám sát,08/12/2024
Nhân viên kinh doanh Ngành đá mài,['Hồ Chí Minh'],CÔNG TY TNHH ABRASIVES VIETNAM,"Lô 4, 16B đường số 3, nhóm CN 4, KCN Tân Bình, Q. Tân Phú",HR Dept,,Trách nhiệm hữu hạn,29/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,15 Tr - 25 Tr VND,Trên 2 Năm,Nhân viên,08/12/2024
Nhân Viên Quản Lý Chất Lượng Tiếng Nga/Ukraina (QA/QC),['Hồ Chí Minh'],DIGI-TEXX VIETNAM,"2nd Floor, Anna Building, Quang Trung Software City, Dist. 12",Ms. Huyền,1.000-4.999,Trách nhiệm hữu hạn,29/11/2024,"Dịch vụ khách hàng , Biên phiên dịch , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,09/12/2024
Nhân viên quay và chỉnh sửa video,['Hồ Chí Minh'],VIETNAM GOBUY E-COMMERCE - CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ GOBUY VIỆT NAM,"497 Nguyễn Kiệm, Phường 9, Quận Phú Nhuận, Thành phố Hồ Chí Minh",GOBUY HR DEPARTMENT,25-99,Trách nhiệm hữu hạn,09/12/2024,Mỹ thuật / Nghệ thuật / Thiết kế,Nhân viên chính thức,10 Tr - 18 Tr VND,1 - 3 Năm,Nhân viên,07/01/2025
"Nhân Viên Phát Triển Thị Trường Khu Vực Nhà Bè, Bình Chánh, Quận 7, Quận 8",['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần,28/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Tiếp thị trực tuyến",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,07/12/2024
Security Investigation Coordinator,['Hồ Chí Minh'],TECHTRONIC INDUSTRIES VIETNAM MANUFACTURING COMPANY LIMITED,"Cần đổi thành 9A VSIP II-A Street 27, Vietnam - Singapore Industrial Park II-A, Vinh Tan Ward, Tan Uyen City, Binh Duong Province, Vietnam",HR Dept.,10.000-19.999,100% vốn nước ngoài,28/11/2024,"An Ninh / Bảo Vệ , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,18/12/2024
NHÂN VIÊN KINH DOANH THỊ TRƯỜNG (KÊNH NHÀ THUỐC - GT - SPA),"['Hồ Chí Minh', 'Bạc Liêu', 'Long An']",CÔNG TY CỔ PHẦN ĐẦU TƯ DƯỢC PHẨM HTP,"242 Cộng Hòa, phường 12, quận Tân Bình, TP.HCM",Phòng nhân sự,100-499,Cổ phần,29/11/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,08/12/2024
Nhân viên kinh doanh kênh MT,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN HỒ TIÊU VIỆT,"Số 45 đường Gò Nổi, Phường Phú Hữu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Ms.Hoa,100-499,Cổ phần,29/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,30/11/2024
Trưởng phòng điều hành City Tour,['Hồ Chí Minh'],CÔNG TY TNHH ĐẠI PHÁT TÍN,"628 Quốc lộ 13, Phường Hiệp Bình Phước, TP. Thủ Đức",HR DEPT,100-499,Trách nhiệm hữu hạn,27/11/2024,"Bán hàng / Kinh doanh , Quản lý điều hành , Du lịch",Nhân viên chính thức,Cạnh tranh,5 - 7 Năm,Trưởng nhóm / Giám sát,05/12/2024
NHÂN VIÊN BẾP CHÍNH,['Hồ Chí Minh'],CÔNG TY TNHH NHẬT HẠ - KHÁCH SẠN NHẬT HẠ,"12-14-16 Cao bá Quát, Phường Bến Nghé, Quân",Hảo,100-499,Trách nhiệm hữu hạn,27/11/2024,"Nhà hàng / Khách sạn , Thực phẩm & Đồ uống , Lao động phổ thông",Nhân viên chính thức,8 Tr - 11 Tr VND,1 - 3 Năm,Nhân viên,30/11/2024
[Bình Thạnh]Tư vấn viên thẩm mỹ viện,['Hồ Chí Minh'],CÔNG TY TNHH YB SPA,"Số 16, Đường M, P.An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HRM,100-499,Trách nhiệm hữu hạn,27/11/2024,"Tư vấn , Dịch vụ khách hàng , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,7 Tr - 35 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024
[Quận 9]Tư vấn viên tại Spa,['Hồ Chí Minh'],CÔNG TY TNHH YB SPA,"Số 16, Đường M, P.An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HRM,100-499,Trách nhiệm hữu hạn,27/11/2024,"Y tế / Chăm sóc sức khỏe , Dược phẩm , Tiếp thị / Marketing",Nhân viên chính thức,7 Tr - 35 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024
Giám đốc kinh doanh LCL,['Hồ Chí Minh'],"CÔNG TY TNHH PORTEVER SHIPPING VIỆT NAM (PORTEVER SHIPPING VIET NAM CO.,LTD)","Tầng 13, Tòa nhà An Phú Plaza, Số 117-119 Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh",HR,10-20,Trách nhiệm hữu hạn,28/11/2024,"Bán hàng / Kinh doanh , Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu",Nhân viên chính thức,20 Tr - 40 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,01/02/2025
GIÁM SÁT NHÀ HÀNG - CỬA HÀNG,['Hồ Chí Minh'],CÔNG TY CP TẬP ĐOÀN TÂN LONG,"Trụ sở chính tầng 14, tòa nhà Diamond Flower, số 48 Lê Văn Lương, Thanh Xuân, Hà Nội",Bộ Phận Tuyển Dụng,Hơn 2500,Cổ phần,28/11/2024,"Bán hàng / Kinh doanh , Quản lý điều hành , Nhà hàng / Khách sạn",Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 2 Năm,Trưởng nhóm / Giám sát,06/12/2024
PHIÊN DỊCH VIÊN TIẾNG TRUNG (GẤP),"['Đà Nẵng', 'Hồ Chí Minh']",CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN MINH GLOBAL,"số 146 bis Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Ms. Thiêm,100-499,Cổ phần,26/11/2024,Biên phiên dịch,Nhân viên chính thức,15 Tr - 20 Tr VND,1 - 10 Năm,Nhân viên,18/11/2024
[H5] TRƯỞNG NHÓM CHĂM SÓC KHÁCH HÀNG SÀN TMĐT,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,26/11/2024,Dịch vụ khách hàng,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Trưởng nhóm / Giám sát,31/12/2024
Nhân viên Livestream thời trang (fulltime),['Hồ Chí Minh'],CÔNG TY TNHH ANTA SPORTS VIỆT NAM,"Phòng 612, Tầng 6, Tòa nhà Friendship, Số 31, Đường Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam, Quận 1, TP Hồ Chí Minh",Phòng Nhân sự,100-499,Trách nhiệm hữu hạn,26/11/2024,"Bán hàng / Kinh doanh , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,10 Tr - 15 Tr VND,Trên 1 Năm,Nhân viên,05/12/2024
[H5] NHÂN VIÊN CHĂM SÓC KHÁCH HÀNG KÊNH CHAT (LINE TIẾNG ANH),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,26/11/2024,Dịch vụ khách hàng,Nhân viên chính thức,Cạnh tranh,,Nhân viên,31/12/2024
Nhân viên kỹ thuật tại TP.HCM đào tạo sinh viên mới ra trường,['Hồ Chí Minh'],CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU THẾ GIỚI BABY,"26 Đường số 49, Khu phố 8, Phường Tân Tạo, Quận Bình Tân, Tp. HCM.",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XNK THẾ GIỚI BABY,10-20,Trách nhiệm hữu hạn,05/12/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,7 Tr - 10 Tr VND,Trên 1 Năm,Nhân viên,03/01/2025
Associate of Material,['Hồ Chí Minh'],CÔNG TY TNHH CONTOURA NEW INSOLE TECHNOLOGY DEVELOPMENT,"Tầng 4, Tòa nhà Tín Thành, Số 556 - 558 Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",HR,,Trách nhiệm hữu hạn,05/12/2024,Dệt may / Da giày / Thời trang,Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên,03/01/2025
Chăm Sóc Khách Hàng [Củ Chi - HCM],['Hồ Chí Minh'],CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,500-999,Cổ phần,26/11/2024,"Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 8 Tr VND,1 - 2 Năm,Nhân viên,05/12/2024
Nhân viên Tư Vấn Ứng dụng B2B App,['Hồ Chí Minh'],DALAT HASFARM,"450 Nguyên Tử Lực, P8, Tp. Đà Lạt",Mr. Nguyễn An Vượng,1.000-4.999,Trách nhiệm hữu hạn,26/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,02/12/2024
Thiết Kế Kiểu Dáng Công Nghiệp- Làm Tại Thủ Đức,['Hồ Chí Minh'],CÔNG TY TNHH 3D SMART SOLUTIONS,"Số 58/6 Đường Võ Văn Hát, Khu Phố Phước Hiệp, Phường Long Trường, Thành phố Thủ Đức, Tp Hồ Chí Minh, Việt Nam",Ms. Trang,25-99,Trách nhiệm hữu hạn,26/11/2024,Mỹ thuật / Nghệ thuật / Thiết kế,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,30/11/2024
Nhân Viên Phát Triển Thị Trường - Đăng Ký Địa Điểm Làm Việc,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần,03/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,01/01/2025
Chuyên viên phát triển kinh doanh và vận hành nhà sách,['Hồ Chí Minh'],CÔNG TY TNHH HAMOON,"SV04, Villas Hà Đô 766 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",HRD,25-99,Trách nhiệm hữu hạn,03/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,01/01/2025
[B6] Nhân Viên Tổng Đài Nhà Mạng Viễn Thông Vinaphone (Không Yêu Cầu Kinh Nghiệm/Hỗ Trợ Mộc Thực Tập),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,05/12/2024,"Bán lẻ / Bán sỉ , Kiến trúc , Trắc địa / Địa Chất",Nhân viên chính thức,6 Tr - 8 Tr VND,,Nhân viên,03/01/2025
[G5]_Nhân Viên Chăm Sóc Khách Hàng Thời Vụ Viettel - (Partime),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,05/12/2024,"Bưu chính viễn thông , Dịch vụ khách hàng , Giáo dục / Đào tạo",Nhân viên chính thức,5 Tr - 9 Tr VND,,Nhân viên,03/01/2025
Payable Accountant - Full time 6 months,['Hồ Chí Minh'],TÜV RHEINLAND VIETNAM,"Tầng 5, tòa nhà Anna, khu công viên phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, Tp.HCM",HR Dept.,,100% vốn nước ngoài,01/12/2024,"Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,1 - 15 Năm,Nhân viên,30/12/2024
Senior Java Developer - Hanoi/HoChiMinh - TA160,"['Hà Nội', 'Hồ Chí Minh']",NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,02/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,3 - 7 Năm,Nhân viên,31/12/2024
Kế toán tổng hợp,['Hồ Chí Minh'],CÔNG TY TNHH ĐẦU TƯ ITS,"Số V3-41, Đường V3, Khu dự án dân cư và công viên Phước Thiện, Phường Long Bình, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HR ITS,,Trách nhiệm hữu hạn,02/12/2024,"Cơ khí / Ô tô / Tự động hóa , Xây dựng",Nhân viên chính thức,18 Tr - 22 Tr VND,3 - 5 Năm,Nhân viên,31/12/2024
CHUYÊN VIÊN QC NHÔM KÍNH,"['Bình Dương', 'Hồ Chí Minh', 'Đồng Nai']",CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI XÂY DỰNG CƠ KHÍ VIỆT MINH LONG,"68/69/9/16 Đường TA32, Khu Phố 5, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",HR team,100-499,Trách nhiệm hữu hạn,02/12/2024,"Sản xuất / Vận hành sản xuất , Quản lý chất lượng (QA/QC) , Xây dựng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,31/12/2024
[HCM] Business Development Specialist (Truck),['Hồ Chí Minh'],AHAMOVE,"Lầu 1 Rivera Park, 7/28 Thành Thái, Phường 14, Quận 10, Thành phố Hồ Chí Minh",Phòng nhân sự,100-499,Cổ phần,30/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,29/12/2024
Sales Engineer - Raw materials,['Hồ Chí Minh'],HR VIETNAM’S ESS CLIENT,"Pasteur Tower, 139 Pasteur street, Dist. 3",Admin,,100% vốn nước ngoài,30/11/2024,"Hóa học , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,29/12/2024
Nhân Viên Phát Triển Thị Trường Khu Vực Tân Phú,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần,30/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,29/12/2024
Nhân Viên Kinh Doanh,['Hồ Chí Minh'],CÔNG TY TNHH THANG MÁY VIỆT TRÍ,"878/1B Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, TP.HCM",Ms Ngân,25-99,Trách nhiệm hữu hạn,01/12/2024,"Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,30/12/2024
Formula Development Manager - Beverage / Drinks,"['Bình Dương', 'Hồ Chí Minh']",MASAN CONSUMER,"23 Le Duan Street, Ben Nghe Ward, Dist 1, HCMC",Phòng Nhân Sự,,Trách nhiệm hữu hạn,01/12/2024,Thực phẩm & Đồ uống,Nhân viên chính thức,Cạnh tranh,4 - 7 Năm,Quản lý,30/12/2024
[Thủ Đức] Sale Online Thẩm Mỹ Viện,['Hồ Chí Minh'],CÔNG TY TNHH YB SPA,"Số 16, Đường M, P.An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HRM,100-499,Trách nhiệm hữu hạn,29/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,5 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,28/12/2024
Họa sĩ tô màu Webtoon,['Hồ Chí Minh'],REBEL CORPORATION VIETNAM,"105C Bến Vấn Đồn, Phường 9, Quận 4",Ms. Nhi,25-99,100% vốn nước ngoài,30/11/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Ngành khác",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,29/12/2024
[WHITE PALACE VÕ VĂN KIỆT] SINH VIÊN THỰC TẬP (Có Lương),['Hồ Chí Minh'],CÔNG TY CỔ PHẦN IN HOLDINGS,"194 Hoàng Văn Thụ, Phường 09, Quận Phú Nhuận,",Hr Department,500-999,Cổ phần,30/11/2024,Nhà hàng / Khách sạn,Thực tập,"1,5 Tr - 4 Tr VND",,Sinh viên/ Thực tập sinh,29/12/2024
Hiệu Trưởng Mầm non thu nhập 20M - 25M/tháng (Đồng Nai - Hồ Chí Minh),"['Hồ Chí Minh', 'Đồng Nai', 'Bình Dương']",CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,500-999,Cổ phần,30/11/2024,"Dịch vụ khách hàng , Giáo dục / Đào tạo , Quản lý điều hành",Nhân viên chính thức,20 Tr - 25 Tr VND,3 - 5 Năm,Quản lý,29/12/2024
Chuyên Viên Kinh Doanh – Nội Thất,['Hồ Chí Minh'],CÔNG TY TNHH NIPPON INTERIA,"38 Nguyễn Cơ Thạch, Phường An Lợi Đông, TP Thủ Đức",Mr Linh,25-99,,30/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,29/12/2024
KỸ SƯ ĐIỆN LẠNH,[],,,,,,,,,,,,
Chuyên viên kinh doanh thị trường tài chính và quản lý đối tác,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CHỨNG KHOÁN HD,"Lầu 3B và 9, số 58 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",CHỨNG KHOÁN HD,25-99,Cổ phần,29/11/2024,"Bán hàng / Kinh doanh , Chứng khoán , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,28/12/2024
B2B Sales Executive,['Hồ Chí Minh'],LACVIET COMPUTING CORPORATION,"23 Nguyễn Thị Huỳnh, P. 8, Q. Phú Nhuận, TP.HCM",Phòng Nhân Sự,350,Cổ phần,29/11/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,28/12/2024
Nhân Viên Tư Vấn Tại Quận 12 Không Cần Kinh Nghiệm,['Hồ Chí Minh'],DIAMOND-G - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LIÊN MINH QUỐC TẾ DIAMOND-G,"2290 Quốc Lộ 1A, Trung Mỹ Tây, Q12",Ms. Nhung,100-499,Trách nhiệm hữu hạn,28/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Hàng gia dụng / Chăm sóc cá nhân",Nhân viên chính thức,8 Tr - 20 Tr VND,,Nhân viên,27/12/2024
Nhân viên Kinh doanh,"['Hà Nội', 'Hồ Chí Minh']",CÔNG TY CỔ PHẦN PHƯƠNG TIỆN ĐIỆN THÔNG MINH SELEX,"Số 12, Ngõ 36 Xuân Thuỷ, Cầu Giấy, Hà Nội/ Số 37A-37B, phường 4, quận 5, Thành phố Hồ Chí Minh",HR Dept,100-499,Cổ phần,26/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,10 Tr - 13 Tr VND,1 - 3 Năm,Nhân viên,25/12/2024
[Thủ Đức] Tư vần viên thẩm mỹ viện,['Hồ Chí Minh'],CÔNG TY TNHH YB SPA,"Số 16, Đường M, P.An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HRM,100-499,Trách nhiệm hữu hạn,26/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,7 Tr - 35 Tr VND,1 - 2 Năm,Nhân viên,25/12/2024
DIRECTOR 3D MODEL,['Hồ Chí Minh'],CÔNG TY TNHH CA ADVANCE VIỆT NAM,"Lầu 13 và Lầu 21, Centec Tower, số 72-74 Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Ms. Ngân,100-499,Trách nhiệm hữu hạn,28/11/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Giải trí",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,27/12/2024
Preventive Maintenance Engineer (Injection Molding),['Hồ Chí Minh'],TECHTRONIC INDUSTRIES VIETNAM MANUFACTURING COMPANY LIMITED,"Cần đổi thành 9A VSIP II-A Street 27, Vietnam - Singapore Industrial Park II-A, Vinh Tan Ward, Tan Uyen City, Binh Duong Province, Vietnam",HR Dept.,10.000-19.999,100% vốn nước ngoài,28/11/2024,"Bảo trì / Sửa chữa , Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,3 - 6 Năm,Nhân viên,27/12/2024
KỸ SƯ LẬP TRÌNH CNC (Ưu tiên sinh viên mới ra trường) - NHÀ MÁY 4,['Hồ Chí Minh'],CÔNG TY TRÁCH NHIỆM HỮU HẠN SÀI GÒN PRECISION,"Road 2, Saigon-LinhTrung E.P.Z, Thu Duc City, Ho Chi Minh City",Ms. Bội Ngọc,,Trách nhiệm hữu hạn,28/11/2024,"Cơ khí / Ô tô / Tự động hóa , Mỹ thuật / Nghệ thuật / Thiết kế , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,27/12/2024
KẾ TOÁN TỔNG HỢP (kinh nghiệm cứng),['Hồ Chí Minh'],CÔNG TY TNHH MTV KỸ THUẬT TÚ LỘC,"354 Quốc Lộ 1A, P. Bình Hưng Hòa B, Q. Bình Tân, Tp. Hồ Chí Minh",Ms. Phượng,25-99,Cá nhân,28/11/2024,"Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,14 Tr - 18 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,27/12/2024
QUẢN LÝ RỦI RO (COD) (HỒ CHÍ MINH),['Hồ Chí Minh'],CÔNG TY TNHH BEST LOGISTICS TECHNOLOGY (VIỆT NAM),"Tòa nhà UOA , 06 Tân Trào, Tân Phú, Quận 7, Thành phố Hồ Chí Minh",BP Tuyển dụng,4000,Công ty đa quốc gia,10/12/2024,Vận chuyển / Giao nhận / Kho vận,Nhân viên chính thức,12 Tr - 18 Tr VND,1 - 2 Năm,Nhân viên,26/12/2024
Phó Giám đốc Chi nhánh phụ trách KHCN Khu vực TP.HCM,['Hồ Chí Minh'],NGÂN HÀNG TMCP LỘC PHÁT VIỆT NAM (LPBANK),"Tầng 12, LPB Tower, 210 Trần Quang Khải, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",HR Dept,10.000-19.999,Cổ phần,03/12/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 4 Năm,Phó Giám đốc,25/12/2024
Quản lý kinh doanh lữ hành,"['Đà Nẵng', 'Hà Nội', 'Hồ Chí Minh']",,,,,,09/12/2024,"Tiếp thị trực tuyến , Du lịch , CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,25/12/2024
